Location,Date,Value
USA,2008-02,3.74
USA,2008-03,3.51
USA,2008-04,3.68
USA,2008-05,3.88
USA,2008-06,4.1
USA,2008-07,4.01
USA,2008-08,3.89
USA,2008-09,3.69
USA,2008-10,3.81
USA,2008-11,3.53
USA,2008-12,2.42
USA,2009-01,2.52
USA,2009-02,2.87
USA,2009-03,2.82
USA,2009-04,2.93
USA,2009-05,3.29
USA,2009-06,3.72
USA,2009-07,3.56
USA,2009-08,3.59
USA,2009-09,3.4
USA,2009-10,3.39
USA,2009-11,3.4
USA,2009-12,3.59
USA,2010-01,3.73
USA,2010-02,3.69
USA,2010-03,3.73
USA,2010-04,3.85
USA,2010-05,3.42
USA,2010-06,3.2
USA,2010-07,3.01
USA,2010-08,2.7
USA,2010-09,2.65
USA,2010-10,2.54
USA,2010-11,2.76
USA,2010-12,3.29
USA,2011-01,3.39
USA,2011-02,3.58
USA,2011-03,3.41
USA,2011-04,3.46
USA,2011-05,3.17
USA,2011-06,3
USA,2011-07,3
USA,2011-08,2.3
USA,2011-09,1.98
USA,2011-10,2.15
USA,2011-11,2.01
USA,2011-12,1.98
USA,2012-01,1.97
USA,2012-02,1.97
USA,2012-03,2.17
USA,2012-04,2.05
USA,2012-05,1.8
USA,2012-06,1.62
USA,2012-07,1.53
USA,2012-08,1.68
USA,2012-09,1.72
USA,2012-10,1.75
USA,2012-11,1.65
USA,2012-12,1.72
USA,2013-01,1.91
USA,2013-02,1.98
USA,2013-03,1.96
USA,2013-04,1.76
USA,2013-05,1.93
USA,2013-06,2.3
USA,2013-07,2.58
USA,2013-08,2.74
USA,2013-09,2.81
USA,2013-10,2.62
USA,2013-11,2.72
USA,2013-12,2.9
USA,2014-01,2.86
USA,2014-02,2.71
USA,2014-03,2.72
USA,2014-04,2.71
USA,2014-05,2.56
USA,2014-06,2.6
USA,2014-07,2.54
USA,2014-08,2.42
USA,2014-09,2.53
USA,2014-10,2.3
USA,2014-11,2.33
USA,2014-12,2.21
USA,2015-01,1.88
USA,2015-02,1.98
USA,2015-03,2.04
USA,2015-04,1.94
USA,2015-05,2.2
USA,2015-06,2.36
USA,2015-07,2.32
USA,2015-08,2.17
USA,2015-09,2.17
USA,2015-10,2.07
USA,2015-11,2.26
USA,2015-12,2.24
USA,2016-01,2.09
USA,2016-02,1.78
USA,2016-03,1.89
USA,2016-04,1.81
USA,2016-05,1.81
USA,2016-06,1.64
USA,2016-07,1.5
USA,2016-08,1.56
USA,2016-09,1.63
USA,2016-10,1.76
USA,2016-11,2.14
USA,2016-12,2.49
USA,2017-01,2.43
USA,2017-02,2.42
USA,2017-03,2.48
USA,2017-04,2.3
USA,2017-05,2.3
USA,2017-06,2.19
USA,2017-07,2.32
USA,2017-08,2.21
USA,2017-09,2.2
USA,2017-10,2.36
USA,2017-11,2.35
USA,2017-12,2.4
USA,2018-01,2.58
USA,2018-02,2.86
USA,2018-03,2.84
USA,2018-04,2.87
USA,2018-05,2.98
USA,2018-06,2.91
USA,2018-07,2.89
USA,2018-08,2.89
USA,2018-09,3
USA,2018-10,3.15
USA,2018-11,3.12
USA,2018-12,2.83
USA,2019-01,2.71
USA,2019-02,2.68
USA,2019-03,2.57
USA,2019-04,2.53
USA,2019-05,2.4
USA,2019-06,2.07
USA,2019-07,2.06
USA,2019-08,1.63
USA,2019-09,1.7
USA,2019-10,1.71
USA,2019-11,1.81
USA,2019-12,1.86
USA,2020-01,1.76
USA,2020-02,1.5
USA,2020-03,0.87
USA,2020-04,0.66
USA,2020-05,0.67
USA,2020-06,0.73
USA,2020-07,0.62
USA,2020-08,0.65
USA,2020-09,0.68
USA,2020-10,0.79
USA,2020-11,0.87
USA,2020-12,0.93
